platinumid,ntabs,ntabscategory
3PG_2WZB,72,low
3PJ_3PDJ,311040,high
3PL_2XFO,24,low
3PV_4RGA,1000000,high
3PW_4WKI,792,medium
3PZ_3PZ1,8352,medium
3Q2_3QCX,60,low
3Q3_3QCY,480,low
3Q4_3QD0,720,medium
3Q5_3QD3,180,low
3Q6_3QD4,180,low
3QA_4WKP,1000000,high
3QB_4WH5,106920,high
3QC_2FME,120,low
3QG_4RHY,1000000,high
3QO_3QOA,4,low
3QP_4DBC,124416,high
3QT_3QTI,8,low
3R2_4RIF,1000000,high
3R7_4WMX,32,low
3R9_4NQ6,1452,medium
3RF_4WNO,864,medium
3RH_3RI1,30,low
3RM_3RM4,3240,medium
3RO_3W23,48,low
3RP_3RLP,2,low
3RQ_3RLQ,3,low
3RR_3RLR,3,low
3S3_4RL2,5760,medium
3SA_1XCW,1000000,high
3SB_3OXT,288,low
3SE_3SDG,3240,medium
3SF_3SFI,9720,medium
3SH_4RLI,288,low
3SK_4RLF,2,low
3SQ_4WPD,2,low
3SW_4RMD,4860,medium
3T1_3T11,6960,medium
3T5_3TC5,1000000,high
3TJ_3TDJ,60,low
3TN_2P1T,120,low
3TO_3KN0,3456,medium
3TP_2HHA,3168,medium
3TW_4WRB,1944,medium
3U1_4WRS,60,low
3U5_4WSY,8,low
3U6_4WT6,264,low
3U9_4CNH,16,low
3UE_4RPU,64800,high
3UG_4WUQ,120,low
3UH_4RPQ,576,medium
3UJ_4WUY,1000000,high
3UL_4WUA,360,low
3UW_4RRN,19800,high
3UX_4RRO,19800,high
3VD_4WWO,24,low
3VL_4WXH,182250,high
3VO_4WY1,1350,medium
3VS_4WYC,12,low
3VW_4WYE,90,low
3VY_4WXP,20,low
3W4_4A7B,480,low
3W6_4RUY,36,low
3W7_4WZ8,16200,high
3X1_4WWZ,13122,high
3XC_3NLY,513216,high
3XO_4X5R,21600,high
3XS_4LS2,576,medium
3XV_4X60,43740,high
3XY_4X5Z,12960,high
3YF_4ZZ1,20736,high
3YG_4ZZ2,41472,high
3YH_3V13,9216,medium
3YO_4RX5,4320,medium
3YR_4XHK,352,low
3YS_4X7I,3960,medium
3YT_4RX9,6480,medium
3YV_4RX7,6480,medium
3YX_4RX8,1620,medium
3Z2_4X7H,2304,medium
3Z3_4X7K,288,low
3ZA_4IGT,2592,medium
404_3PJ8,1944,medium
409_4HWO,288,low
40F_4XAQ,88,low
40U_4XHD,2160,medium
40W_4XIP,180,low
410_2ZN7,69120,high
413_1W7X,36864,high
415_4MW5,15552,high
417_2P8S,2700,medium
419_3F7H,156816,high
41D_4XJJ,648,medium
41E_4XJM,12960,high
41G_4CB7,48,low
41K_4XKR,88,low
41L_3PMY,40,low
41N_4XJP,7920,medium
41O_4XJO,7920,medium
41V_3X31,1202850,high
421_1ZSK,384,low
42C_4FCP,3,low
42K_4FKQ,792,medium
42Q_3VHE,128,low
42Z_3OUI,12,low
431_4HLK,2,low
437_3NNV,1536,medium
439_2Y80,11616,high
43C_4XUA,300,low
43D_4XUB,300,low
43E_4MWD,7776,medium
43G_4XUC,36,low
43J_4XUE,12,low
43K_4XKX,2640,medium
43L_4XT2,120,low
43N_4XWA,1000000,high
43O_4XWY,648,medium
43P_1YC4,100,low
43Q_4S3B,5832,medium
43T_4S1G,2880,medium
43U_4XY8,3,low
43Z_4XYX,396,low
448_2QOE,4320,medium
449_4CWD,60,low
44F_4MW1,15552,high
44I_4Y7B,38016,high
44J_4XTU,1000000,high
44L_4XTY,1000000,high
44O_4XU1,1000000,high
44U_3DA9,7128,medium
44X_4XYF,1296,medium
454_3IGB,9900,medium
455_2XBW,19008,high
458_2B1V,12,low
45E_4X3T,2880,medium
45I_5AMD,576,medium
45K_4FKR,4356,medium
45S_4YES,12672,high
461_2WYG,25344,high
467_4YTH,108,low
469_3ZSH,2880,medium
46C_2ZDT,128,low
46G_4XMO,100,low
46K_4FKS,3168,medium
46M_1X1I,450,low
470_3PLZ,1000000,high
472_3IN3,3300,medium
474_2QTB,71280,high
475_3CUV,180,low
476_4JZX,2268,medium
477_3V8T,96,low
478_3NU6,28512,high
47D_2PDH,48,low
47N_4AK7,45,low
47W_4UMT,2160,medium
47X_5AV0,4,low
486_2W8Y,594000,high
48T_4AL1,1000000,high
48W_4Y71,10208,high
490_4XY2,384,low
492_3FU5,4,low
499_4Y85,8,low
49A_1F8E,1620,medium
49D_4Y86,4752,medium
49G_4Y2J,432,low
49K_4Y2H,1728,medium
49P_4Y2S,6,low
4A3_2HDR,2,low
4AA_1YFW,2,low
4AD_1X54,171072,high
4AM_1F8C,1620,medium
4B0_3RPS,18,low
4B2_4YBI,360,low
4B3_2QBQ,4320,medium
4BC_1YC1,2200,medium
4BF_2AG6,24,low
4BG_3CHO,96,low
4BS_3CHR,432,low
4BT_1D1X,1176,medium
4BV_4YBT,14256,high
4BX_3KAC,48,low
4BY_3KCE,2,low
4CC_4JN2,110592,high
4CD_3K97,44,low
4CS_2VPN,120,low
4CT_3OZC,12672,high
4D2_4CJP,85536,high
4DC_4DCH,4752,medium
4DF_4YJO,3564,medium
4DJ_4YJR,5832,medium
4DK_4YJQ,11664,high
4DL_4YJP,21384,high
4DN_4YJS,64152,high
4DS_4CLZ,666,medium
4DZ_4YL0,2,low
4E5_4YMA,176,low
4E7_4YMB,1584,medium
4E8_4V3X,46656,high
4EJ_4YMJ,144,low
4EZ_4YO8,69984,high
4F0_4YML,3168,medium
4F4_4YOI,3072,medium
4F8_2XP7,6,low
4FF_2XP5,4,low
4FI_3KAI,96,low
4FZ_3A8A,16,low
4G2_2XP6,4,low
4G8_2XP9,768,medium
4GD_4YO6,144,low
4GZ_4YQD,87480,high
4HF_2FMN,155520,high
4HG_2G1M,12,low
4HP_2YYJ,10,low
4HV_4HVA,72,low
4HW_4YTC,288,low
4HX_2HX4,114048,high
4I5_5D7Q,87,low
4J8_4YXI,2,low
4JC_4YXO,4,low
4JE_4YXU,12,low
4JV_4YUZ,6,low
4JW_4YV0,240,low
4K0_4AOI,16,low
4K6_4YZU,432,low
4KB_4Z1K,360,low
4KC_4Z1J,360,low
4KR_4KOR,1620,medium
4L2_4Z6H,60,low
4L3_4Z6I,720,medium
4L6_4Z3V,2,low
4LC_4Z2B,4320,medium
4LN_4Z0K,540,medium
4LO_4Z55,58320,high
4LR_4ZAL,36,low
4LV_4ZA7,12,low
4LW_4ZAB,12,low
4M0_4OWS,2,low
4M1_4ZAE,432,low
4M7_4ZBF,6264,medium
4MA_4RLF,2,low
4ME_4B35,2,low
4MK_4MKC,58320,high
4MS_3D5M,371712,high
4NK_4ZFL,746496,high
4NM_5AGY,4,low
4NP_4WOH,72,low
4NR_4CM4,4,low
4NY_4ZG6,96,low
4O0_4ZG7,12672,high
4O1_4Y76,81664,high
4O6_4Y79,31680,high
4OA_4Q0A,1000000,high
4OQ_4ZJI,2610,medium
4OR_4ZJJ,34452,high
4P0_4ZJS,2,low
4P6_4ZJT,360,low
4P7_4ZK1,360,low
4PS_3K9W,314928,high
4PX_5C2H,108,low
4Q1_4ZON,712800,high
4Q3_4ZOM,152064,high
4QO_4ZQN,768,medium
4RG_3T55,24,low
4RU_4ZLY,1,low
4RV_4ZLZ,2,low
4RX_4ZSQ,30,low
4RY_4ZSR,9900,medium
4RZ_4ZSP,900,medium
4SP_2IW9,3240,medium
4SQ_4ZYB,3888,medium
4SS_4ZYC,12960,high
4SV_5FP9,2,low
4SX_4Z6S,2,low
4T6_4ZY6,5184,medium
4T7_4ZXW,12,low
4TH_4ZYI,17280,high
4TN_2P1U,360,low
4U8_4YL1,576,medium
4UE_5BOY,24,low
4UN_2H04,4320,medium
4UP_4FUB,128,low
4V2_4ABQ,2,low
4V3_5BRH,8910,medium
4V5_5BRF,270,low
4V8_5BUE,480,low
4V9_5BUI,120,low
4VB_5BUJ,120,low
4VE_5BVO,576,medium
4VF_5BVD,64800,high
4VG_5BVE,125280,high
4VJ_5BVF,91872,high
4VR_5BWU,432,low
4VS_5BWT,4,low
4VT_5BWR,4,low
4VU_5BW2,4,low
4VW_4CJ5,85536,high
4W4_5BWX,432,low
4W6_5BWW,5280,medium
4WL_3ZNN,2,low
4XB_4B14,720,medium
4XF_5C3K,8,low
4XS_5C1W,2,low
4XU_5C2H,2592,medium
4XV_5C28,2,low
4XY_5C29,18,low
4Y0_4UWC,16,low
4Y2_5C2A,24,low
4Y5_5C4S,36,low
4Y6_5C4T,1080,medium
4Y7_5C4U,36,low
4YA_5C49,164025,high
4YQ_4C7J,72,low
4YX_5C8N,524880,high
4ZH_5CAP,11664,high
4ZJ_5CAQ,19440,high
4ZK_5CBR,96,low
4ZQ_5CAS,233280,high
505_2VIN,18,low
507_3OOM,720,medium
508_3UFL,118800,high
509_2H4K,48,low
50E_5CEP,6480,medium
50F_5CEQ,1283040,high
50H_5C26,48,low
50J_5C27,384,low
50O_5CF6,648,medium
50Q_4BQG,16,low
50R_5CEI,24,low
50U_2ZDK,380160,high
50V_5CF8,2592,medium
50W_5CF5,2592,medium
50Y_5CF4,17496,high
511_4DBW,80,low
512_2HB1,24,low
516_3GT9,190080,high
51U_2ZF0,4224,medium
51Y_5CJ6,66,low
520_5E2R,192,low
521_2NTA,44,low
524_2QT9,71280,high
528_2PIY,559872,high
52B_3LN0,180,low
52C_4AJ2,2,low
52H_3COW,28512,high
52U_5COK,855360,high
52W_5CON,855360,high
532_3S7M,3300,medium
533_3FMH,972,medium
538_3KMG,768,medium
53C_5CQ4,2,low
53H_3COY,28512,high
53R_3F0U,24,low
53S_3EEK,24,low
53T_3EEL,24,low
53U_2ZFF,4224,medium
540_3SN7,2,low
542_3HVH,21384,high
549_5CI9,12,low
54H_3COZ,28512,high
54M_4B77,6600,medium
54W_5CUC,18,low
54X_5CTU,2,low
54Y_5CUE,5,low
550_3EDZ,1152,medium
559_4Z1S,348,low
55C_5CQG,32,low
55D_5CTW,12,low
55G_5CTX,16,low
55H_5CTY,4,low
55M_5CXH,132,low
55V_3QLS,8,low
565_2IIV,8352,medium
566_4U0J,3960,medium
569_3INH,13200,high
56D_4KIB,6,low
56H_5D1J,23040,high
56M_5D25,384,low
56N_5D21,90,low
56R_5D1T,128,low
56W_5D2R,1000000,high
56Y_5D3T,1536,medium
56Z_3S1H,192,low
570_1FM9,41472,high
57D_3EBO,2,low
57F_5D3L,2304,medium
57G_5D3H,3072,medium
57J_5CTB,2700,medium
57L_5CTE,35640,high
57U_5D6P,192,low
57W_5D7C,432,low
57X_5D7D,24,low
57Y_5D7R,96,low
583_5D9L,25,low
585_3FQS,12960,high
589_3OY1,291600,high
58D_5DAQ,348,low
58J_5DAV,348,low
58K_5DAW,174,low
58L_5DAX,174,low
58X_5DF1,108,low
591_3S7L,6600,medium
592_4AWQ,192,low
593_3IND,264,low
594_4XTZ,1000000,high
59D_5DE1,23040,high
59E_5DFD,8352,medium
59K_5DD9,3240,medium
59T_5DEY,2160,medium
59U_5DFP,19440,high
5AD_4S27,66,low
5AE_4QD3,198,low
5AS_1RZY,9504,medium
5AV_5DH4,72,low
5AY_5DH5,648,medium
5B2_3E63,6,low
5B3_3E64,72,low
5B9_5DIQ,24,low
5BC_3NOA,1000000,high
5BE_3NLB,120,low
5BJ_5DJP,4,low
5BO_3SIE,4320,medium
5BU_4P5A,1188,medium
5C1_4A6W,4,low
5C3_4BV5,1080,medium
5CA_2Z0X,28512,high
5CN_2I0Y,720,medium
5CU_4LAM,2,low
5CX_5E2S,16,low
5D0_5DKQ,1000000,high
5DA_5DM4,124416,high
5DE_1Y2E,72,low
5DR_3S9U,96,low
5E5_5DHJ,2,low
5E6_5DIA,180,low
5EL_2YIG,256,low
5FF_5DU4,5760,medium
5FK_5DU8,2880,medium
5FN_2WZI,990,medium
5FU_2QCF,1188,medium
5FX_4BC5,36,low
5GP_3N1S,1188,medium
5GW_3V0M,171072,high
5H5_5DXT,4176,medium
5H7_5DWR,240,low
5H8_5DPE,419904,high
5H9_5DPF,1000000,high
5HA_3TPP,124416,high
5HG_2G1A,324,low
5HI_3CCZ,559872,high
5HY_3QVL,132,low
5ID_2VUW,198,low
5J9_5E13,4752,medium
5JA_5E1S,1000000,high
5JG_5E1E,1080,medium
5JM_5E2O,2304,medium
5JN_5E29,51840,high
5L0_5E9V,240,low
5L8_5EAE,216,low
5LU_5EAG,864,medium
5MM_3TU9,26244,high
5MN_5EAM,2160,medium
5MO_5EAP,23760,high
5MY_4O4E,116640,high
5N2_5ECE,4320,medium
5NE_5HMC,2,low
5NN_4UVZ,2,low
5NQ_5EGU,62208,high
5NR_5EGS,1620,medium
5NY_5EGM,10800,high
5OF_4YC0,20,low
5OU_5EIS,8,low
5P3_3NTY,12,low
5PK_5EK3,4455,medium
5PP_4BNG,648,medium
5QC_2FZZ,1000000,high
5R1_2XK8,32,low
5RD_5EKH,1296,medium
5RI_4C7T,144,low
5RM_1XM6,396,low
5SP_3OVR,216,low
5SZ_5EYC,24,low
5T0_5EYR,71280,high
5T1_5EYD,11664,high
5T4_5EZG,5940,medium
5TB_5F04,71280,high
5TE_5F0C,11880,high
5TO_5F1J,2178,medium
5TZ_5F2S,4,low
5U1_4UCT,2,low
5U8_5F3C,2592,medium
5UD_4PB2,198,low
5UF_5F2N,8748,medium
5UM_3R17,80,low
5UN_3R16,80,low
5V2_4UIY,1440,medium
5V3_5F5C,72,low
5V7_5F32,1,low
5VO_5F6R,864,medium
5W4_5FBX,88,low
5WF_5FBN,17280,high
5WS_5FE9,8,low
5WT_5FE8,4,low
5WU_5FE7,90,low
5WW_4UVO,4,low
5WX_5FE3,1,low
5WY_5FE4,30,low
5WZ_5FE6,60,low
5X0_5FDZ,1440,medium
5XD_5FFY,8,low
5XE_5FG6,6,low
5XF_5FG5,132,low
5Y0_4AN3,216,low
5Y3_5H8E,10368,high
5Y4_5H8G,62208,high
5Y6_5HBE,29040,high
5Z5_2JAV,132,low
605_3D4L,576,medium
609_2ZV2,2,low
60K_4FKU,1584,medium
611_3OE5,19008,high
61E_3BIZ,3564,medium
62D_3TLL,108,low
62K_4FKW,14256,high
62V_5HM0,116,low
62W_5HKO,243,low
637_3NW9,21384,high
642_3EWJ,8448,medium
643_3FXV,768,medium
646_2YND,1440,medium
64U_3DUX,95040,high
651_4EA0,24,low
655_1O2I,352,low
656_1O2K,144,low
65B_3MEC,48,low
662_3NWE,192456,high
66T_4WUN,17280,high
675_4FU9,64,low
676_4BZO,3240,medium
677_3HAB,60,low
683_4GKM,36,low
689_1ZKY,12,low
696_1O3G,64,low
698_2JC1,152064,high
699_2JC0,38016,high
6AD_4PXZ,256608,high
6C6_4KXL,78408,high
6CF_4F5N,1000000,high
6CP_1H1R,1620,medium
6CR_4DAE,198,low
6CS_2VPO,120,low
6DJ_3WF4,8910,medium
6F0_4OWO,4,low
6GO_3FO6,1,low
6IP_2OHP,24,low
6J0_4D33,69984,high
6LV_4CWN,12,low
6MD_4LMP,198,low
6MR_2OW0,1152,medium
6N0_5AKE,1320,medium
6N4_5AKJ,48,low
6NF_5AKI,1620,medium
6NH_2FLB,64,low
6NM_5AKH,25,low
6NX_5AKZ,15,low
6OD_4I25,4,low
6OH_4I2R,4,low
6P3_4I8X,4,low
6PG_3Q7I,1944,medium
6PN_4BNH,1944,medium
6PR_2H3E,864,medium
6QM_2YI6,600,medium
6SC_2R3R,72,low
6T9_4J0T,2160,medium
6TZ_5ALV,2,low
6UI_4USF,50,low
6UP_4FUD,8,low
6X1_3KVK,32,low
6XC_5A5Q,90,low
6XE_3ZBX,8,low
6Z1_5A7P,32,low
701_2JH0,31680,high
705_3HVJ,192456,high
706_3EFL,264,low
709_1ZSJ,192,low
711_1QBO,1920,medium
714_3EFQ,551124,high
715_1X70,4320,medium
721_3DYH,6804,medium
723_3LPT,40,low
735_2P54,768,medium
73B_4BJX,2160,medium
743_3QSB,87480,high
746_4Y95,138240,high
751_4ANV,17280,high
75D_4NNS,12,low
762_1O2N,64,low
76D_4NNT,24,low
76E_5APK,928,medium
770_2Z2W,88,low
775_5BWV,72,low
778_1S63,2880,medium
77F_3SAA,155520,high
783_1O2T,128,low
786_3O64,152064,high
78H_2Y5S,1080,medium
78J_5A81,12150,high
78M_4AFK,1000000,high
78P_3KJD,88,low
796_2GU8,864,medium
798_3FUN,19008,high
79M_4UYO,1000000,high
79Z_4TLR,192,low
7AH_4CGN,1200,medium
7CE_4C4F,36,low
7DE_1Y2K,144,low
7F5_4D32,46656,high
7HV_4FPL,648,medium
7I1_4B11,720,medium
7I2_1FOJ,6,low
7IG_2IKO,96,low
7IP_2OHQ,288,low
7KW_4C3F,300,low
7L5_4UWJ,12960,high
7MC_3R9G,1000000,high
7MD_3TLC,1000000,high
7MN_3PR2,1000000,high
7MR_2OW1,1728,medium
7NH_2FLR,64,low
7PP_3NMQ,48,low
7QN_5FQT,4320,medium
7RA_1L5M,1188,medium
7RP_1L5L,1188,medium
7SB_4CL6,216,low
7TJ_4V26,3072,medium
7UZ_4CIB,1350,medium
7WH_5A7O,288,low
7X1_2VWU,320760,high
7X2_2VWW,3168,medium
7X3_2VWV,288,low
7X4_2VWX,3168,medium
7X5_2VWY,3168,medium
7X6_2VWZ,12672,high
7X7_2VX0,47520,high
7X8_2VX1,3168,medium
7XY_2OZ5,20736,high
7YG_4ACC,2304,medium
802_1O35,16,low
80O_4UFX,720,medium
812_3FUI,2376,medium
824_1X8B,44,low
825_3CWE,1296,medium
829_3KE1,1188,medium
82B_4BKY,139392,high
82E_5FL5,72,low
839_2IN6,1056,medium
83T_4CLB,2160,medium
840_3I8P,2160,medium
841_5EZH,5940,medium
842_4I0J,699840,high
849_2Y1W,6480,medium
851_3GTA,380160,high
855_3HMM,24,low
857_2QU6,19008,high
85Z_5AK2,64,low
861_4G50,38880,high
879_3L38,1024,medium
87T_5AJY,512,medium
882_2Q1L,1000000,high
88A_4AQC,2880,medium
88N_4AJO,38880,high
88R_4AJJ,60,low
88V_4AJN,38880,high
88W_4AJL,108,low
894_2UWP,95040,high
895_2UWL,31680,high
89P_3P89,1152,medium
8AC_3QXH,2916,medium
8C5_3DPK,1710720,high
8CX_3PNH,256608,high
8DG_1WUR,1000000,high
8DQ_4CFL,360,low
8DX_3FVK,11880,high
8E9_4CD1,270,low
8EP_3FVO,11880,high
8GT_1WUQ,1000000,high
8HC_4LV4,2,low
8HG_3F10,198,low
8HQ_4BIS,2,low
8I1_3IOP,216,low
8IP_2OHR,36,low
8ME_4GV0,48,low
8NC_2XC0,19008,high
8OG_3ZR0,1188,medium
8P3_4CGD,176,low
8PC_3FNE,36,low
8PR_4JLT,5940,medium
8T3_4BFD,360,low
8V1_5AK0,5632,medium
8XQ_4JHT,2,low
8Y6_2YOJ,32,low
905_1YGC,55296,high
907_1O3I,16,low
910_2QBR,576,medium
916_4EXG,349920,high
919_3QRJ,12288,high
91B_4ABG,60,low
91F_4BUA,8,low
920_4KSG,792,medium
928_3EJ2,6,low
92P_3ZLS,2,low
930_2Y82,7744,medium
937_2YAC,388800,high
93G_4CB5,48,low
94M_3O6O,16,low
951_3KVM,864,medium
956_3L5T,720,medium
957_4I0I,46656,high
965_3IPQ,1000000,high
985_3F2A,464,low
987_4Y7A,5280,medium
988_3G58,32,low
98P_3QWC,6336,medium
990_4U93,60,low
991_1O2Q,352,low
993_2P3T,1536,medium
994_2P2H,576,medium
996_4EWO,174960,high
99P_3P17,4224,medium
99T_4IJI,248832,high
9AM_1F8D,1620,medium
9B6_4BW4,144,low
9BD_3H9O,486,low
9DX_3FVN,11880,high
9F9_4UYE,180,low
9FK_4BF1,36,low
9GP_3G2J,90,low
9HL_4D37,15552,high
9JZ_3HL5,380160,high
9KQ_4BNU,12,low
9MJ_4UCS,12,low
9NS_4CED,1000000,high
9OD_3BFB,1944,medium
9PA_4CJL,1000000,high
9PC_4DXD,12,low
9RA_4K6I,240,low
9UN_4B7P,1440,medium
9UP_4FUG,32,low
9VU_4BQH,2904,medium
9W7_4D43,72,low
9X3_4UCP,2160,medium
9ZE_4LM3,30,low
A04_2Q94,48,low
A09_3T5U,4,low
A11_3E6L,540,medium
A12_4MAM,42768,high
A14_2JB4,14256,high
A18_2Q96,16,low
A1O_4LA7,4320,medium
A1R_4B1J,1000000,high
A21_3BZU,396,low
A2K_4APU,1000000,high
A2P_1O0O,7128,medium
A3F_3MTF,48,low
A3P_2ZPT,7128,medium
A3S_4RR9,1188,medium
A3T_4RRM,1188,medium
A3V_4RSC,9720,medium
A49_3FRJ,622080,high
A4D_3IOB,198,low
A5A_4XEM,9504,medium
A60_3O9E,1000000,high
A62_4CYP,9504,medium
A63_4L10,4,low
A64_4BS4,4,low
A68_3SA9,93312,high
A6K_4CGL,9504,medium
A73_4KZU,2,low
A7B_3NHY,1,low
A8B_1ODC,1000000,high
A8V_4ZHK,9720,medium
A9N_4A9N,24,low
A9O_4A9O,8,low
A9P_4ALH,2,low
AA0_4AA0,43200,high
AAM_1JHA,1188,medium
AAT_2I7C,1000000,high
AAX_1Y6B,10368,high
AB3_3BHJ,4,low
AB4_2BZ5,48,low
AB8_1XDG,1000000,high
ABL_1NAA,2025,medium
ABQ_3RWP,3168,medium
ABY_1PL1,20736,high
AC6_5CQ8,2,low
ACD_4QWT,1000000,high
ACJ_3NKS,144,low
ACK_2YPE,2178,medium
ACP_3T10,1000000,high
ACV_1BK0,7776,medium
ACW_2IVI,7776,medium
AD0_2UVF,3600,medium
AD3_1HP0,198,low
AD6_2VGP,24,low
AD8_3CZY,36,low
ADN_3UAW,198,low
ADP_2CNQ,42768,high
AE4_2C2N,1000000,high
AEF_4N7C,6,low
AEJ_1XQC,54000,high
AES_3N33,12,low
AF8_3SAC,15552,high
AFO_3PTY,72171,high
AG0_3FRZ,1069200,high
AGI_5AUV,2,low
AGK_4UFI,45,low
AGP_2ZJ4,1458,medium
AGS_2OZE,1000000,high
AGV_4I71,792,medium
AH0_4MO5,4,low
AHB_2OG7,24,low
AHN_3PB8,36,low
AHZ_1RP0,1000000,high
AIC_3NDV,1056,medium
AIR_4S28,1188,medium
AJ1_4AJ1,24,low
AJ6_4J21,4,low
AJ8_4J3M,8,low
AJD_3JUQ,180,low
AJH_3EIO,200448,high
AJZ_3LS8,90,low
AK1_3D14,1152,medium
AK6_3DJ6,3072,medium
AKG_4GJZ,96,low
ALJ_1W1V,53460,high
ALR_1AZ1,60,low
AM1_1M5E,96,low
AM2_2OE5,455625,high
AM3_2WC3,721710,high
AM9_3BYO,2160,medium
AMG_4NDU,135,low
AMP_2GXQ,1188,medium
AMQ_3FAT,48,low
AMZ_2CNQ,1188,medium
AN0_3KZO,36,low
AN2_3IED,42768,high
ANH_3PLK,3072,medium
ANN_2B96,4,low
AO1_1R5G,1728,medium
AO5_1R58,6912,medium
AOB_4CM6,4,low
AOR_3KZN,108,low
APC_3IP0,1000000,high
API_4WCK,1296,medium
APR_5HOL,1000000,high
AQ2_4AWI,480,low
AQ3_4KKX,373248,high
AQN_4C0X,30,low
AQZ_4A9Y,2566080,high
AR3_1P5Z,198,low
AR9_3DV1,1000000,high
ARL_1NQ7,40,low
ARW_2BOJ,45,low
AS0_2OVH,1000000,high
AS6_2XVD,77760,high
AT1_1VSO,2592,medium
AT2_3E7M,540,medium
AT6_3E68,72,low
ATP_3GAH,1000000,high
ATR_4KM0,256608,high
ATU_1Q3W,58,low
ATZ_5PRC,324,low
AU1_4BRC,42768,high
AU5_5AP0,11880,high
AUB_5AM3,180,low
AUY_5FP8,12,low
AVD_3CEM,144,low
AVI_4PIO,288,low
AVJ_4X8E,288,low
AWF_4CCU,192,low
AX3_3BMN,6,low
AX4_3BMO,16,low
AX5_3BMQ,32,low
AXB_3DPE,14400,high
AXF_2F3F,1000000,high
AXI_4AG8,384,low
AXW_3TYL,171072,high
AXX_2PZI,120,low
AYH_3K5F,1000000,high
AYX_3N2P,64,low
AZ4_4JP4,1399680,high
AZ5_2XA4,2592,medium
AZ6_4JPA,71280,high
AZM_1JD0,8,low
AZN_1OAR,45,low
AZY_2YXN,144,low
B01_3SHC,4224,medium
B03_3SI3,4224,medium
B08_2E99,4536,medium
B0D_3IJ8,45,low
B0T_4CEE,1000000,high
B21_2Q93,4,low
B28_2E9A,4536,medium
B29_2E98,504,medium
B2D_3I5N,24,low
B2K_3B25,6,low
B2L_3B26,30,low
B2Z_5AE1,24,low
B32_3HA7,1000000,high
B37_3TVU,720,medium
B3N_4BZ7,2916,medium
B3P_3WIJ,583740,high
B3Z_4B82,9072,medium
B40_3GKZ,36,low
B43_3GEN,4224,medium
B46_3G7E,3240,medium
B52_3H21,8,low
B59_3H2E,1,low
B5A_3UPZ,90,low
B5R_3B5R,432,low
B7G_2B50,32805,high
B7H_5ALY,22,low
B7I_5DKN,52650,high
B84_3IMX,142560,high
B85_3IP8,12,low
B86_3IPX,198,low
B90_3KF4,288,low
B91_3KFA,1152,medium
B96_3FZS,622080,high
B98_3FZ1,174,low
BAB_1C1T,136,low
BAU_3P0F,432,low
BAV_3DV5,1000000,high
BAX_3WZE,768,medium
BB2_3UWB,288684,high
BBE_4B5B,32,low
BC2_2VWC,1000000,high
BC5_5E28,12,low
BC6_2VW5,1000000,high
BCN_4HPJ,2052,medium
BCV_2IVJ,7776,medium
BD0_3HEK,11616,high
BDF_1OVP,45,low
BDH_1YBQ,576,medium
BDR_3KSM,33,low
BE2_3T44,2,low
BES_3H8G,1296,medium
BEU_2JIW,90,low
BEY_3EBI,46656,high
BFQ_2F94,183708,high
BFX_3K1W,622080,high
BHE_4KC1,1000000,high
BHF_2HI4,2,low
BHG_1PPJ,10935,high
BHN_3MZ9,221760,high
BHS_1DMI,135,low
BHX_3BHX,186624,high
BI1_2BIK,85536,high
BI2_1UU7,156816,high
BI3_1UU9,14256,high
BI5_1ZYJ,256,low
BI9_2JKK,3240,medium
BIA_1H1D,25920,high
BIE_2CL5,64,low
BIG_4WKC,114048,high
BIH_3GKN,3,low
BIK_1U5A,2,low
BIO_3QNA,12,low
BIR_3B7R,46656,high
BIT_3MYK,660,medium
BIX_3BI0,559872,high
BJ1_3L4T,48114,high
BJC_3K5G,1000000,high
BJG_4D1S,5760,medium
BJZ_3M6F,3872,medium
BK1_3I7B,96,low
BK2_3I7C,4,low
BK3_3MWU,1440,medium
BK4_3T3V,48,low
BL7_3BZ9,660,medium
BLA_3F0L,1000000,high
BLF_4DIJ,162000,high
BLG_1D0L,481140,high
BLS_2Z3I,155520,high
BM3_2YHW,45,low
BMI_2OJ9,72,low
BMU_3O8T,128,low
BMZ_1GI1,16,low
BN1_1M5B,288,low
BNE_1MZC,104400,high
BNF_1U3U,8,low
BNK_4QR4,132,low
BNL_3GZX,6,low
BO1_2HL4,540,medium
BOW_3IBI,4374,medium
BP2_1N24,216,low
BP5_2PXH,48,low
BP6_1LKD,2,low
BPG_1QHI,648,medium
BPQ_3BLL,36,low
BPS_2DE4,8,low
BPY_1KW6,4,low
BPZ_2ZKC,225,low
BQM_3BQM,17280,high
BQN_3BQN,103680,high
BR6_3A8B,96,low
BRE_1D3G,96,low
BRL_1ZGY,28512,high
BRN_3HIG,13824,high
BRQ_2IZS,48,low
BRR_1RL4,1296,medium
BS5_3RUX,1000000,high
BSM_3OWB,300,low
BSO_3WYP,39204,high
BST_1WN6,1000000,high
BT5_1WQW,1000000,high
BTI_3TW6,39204,high
BTM_3KB9,672,medium
BTN_2F01,39204,high
BTU_3UEQ,4455,medium
BU6_4BVD,1080,medium
BUR_4XNV,1728,medium
BV5_4BVC,19440,high
BV7_4BV7,540,medium
BWG_3ZL2,810,medium
BX4_5E2K,12,low
BXB_3INJ,176,low
BXD_4D8C,1000000,high
BYA_3FGD,72,low
BYE_3K3H,216,low
BYT_4M6V,1000000,high
BZ3_3IMC,2,low
BZ8_2YI7,150,low
